#MESSTELLEN_NR	ZEIT	JAHR	HJAHR	MONAT	Q	Q_MIN	Q_MAX
573000	1940-11-01 00:00:00	1940	1941	11	1.01	1.01	1.01
573000	1940-11-02 00:00:00	1940	1941	11	1.01	1.01	1.01
573000	1940-11-03 00:00:00	1940	1941	11	1.71	1.71	1.71
573000	1940-11-04 00:00:00	1940	1941	11	56.5	56.5	104
573000	1940-11-05 00:00:00	1940	1941	11	13.1	13.1	13.1
573000	1940-11-06 00:00:00	1940	1941	11	4.31	4.31	4.31
573000	1940-11-07 00:00:00	1940	1941	11	3	3	3
573000	1940-11-08 00:00:00	1940	1941	11	2.18	2.18	2.18
573000	1940-11-09 00:00:00	1940	1941	11	1.97	1.97	1.97
573000	1940-11-10 00:00:00	1940	1941	11	1.84	1.84	1.84
573000	1940-11-11 00:00:00	1940	1941	11	1.65	1.65	1.65
573000	1940-11-12 00:00:00	1940	1941	11	2.66	2.66	2.66
573000	1940-11-13 00:00:00	1940	1941	11	2.34	2.34	2.34
573000	1940-11-14 00:00:00	1940	1941	11	1.91	1.91	1.91
573000	1940-11-15 00:00:00	1940	1941	11	1.71	1.71	1.71
573000	1940-11-16 00:00:00	1940	1941	11	1.65	1.65	1.65
573000	1940-11-17 00:00:00	1940	1941	11	1.58	1.58	1.58
573000	1940-11-18 00:00:00	1940	1941	11	1.45	1.45	1.45
573000	1940-11-19 00:00:00	1940	1941	11	1.45	1.45	1.45
573000	1940-11-20 00:00:00	1940	1941	11	1.4	1.4	1.4
573000	1940-11-21 00:00:00	1940	1941	11	1.45	1.45	1.45
573000	1940-11-22 00:00:00	1940	1941	11	1.58	1.58	1.58
573000	1940-11-23 00:00:00	1940	1941	11	1.58	1.58	1.58
573000	1940-11-24 00:00:00	1940	1941	11	1.65	1.65	1.65
573000	1940-11-25 00:00:00	1940	1941	11	1.52	1.52	1.52
573000	1940-11-26 00:00:00	1940	1941	11	1.52	1.52	1.52
573000	1940-11-27 00:00:00	1940	1941	11	1.52	1.52	1.52
573000	1940-11-28 00:00:00	1940	1941	11	1.52	1.52	1.52
573000	1940-11-29 00:00:00	1940	1941	11	1.52	1.52	1.52
573000	1940-11-30 00:00:00	1940	1941	11	1.52	1.52	1.52
573000	1940-12-01 00:00:00	1940	1941	12	1.52	1.52	1.52
573000	1940-12-02 00:00:00	1940	1941	12	1.4	1.4	1.4
