#MESSTELLEN_NR	ZEIT	JAHR	HJAHR	MONAT	W	W_MIN	W_MAX
575020	1990-11-01 00:00:00	1990	1991	11	40	40	40
575020	1990-11-02 00:00:00	1990	1991	11	40	40	40
575020	1990-11-03 00:00:00	1990	1991	11	40	40	40
575020	1990-11-04 00:00:00	1990	1991	11	40	40	40
575020	1990-11-05 00:00:00	1990	1991	11	27	27	27
575020	1990-11-06 00:00:00	1990	1991	11	31	31	31
575020	1990-11-07 00:00:00	1990	1991	11	34	34	34
575020	1990-11-08 00:00:00	1990	1991	11	35	35	35
575020	1990-11-09 00:00:00	1990	1991	11	37	37	37
575020	1990-11-10 00:00:00	1990	1991	11	47	47	47
575020	1990-11-11 00:00:00	1990	1991	11	48	48	48
575020	1990-11-12 00:00:00	1990	1991	11	48	48	48
575020	1990-11-13 00:00:00	1990	1991	11	48	48	48
575020	1990-11-14 00:00:00	1990	1991	11	48	48	48
575020	1990-11-15 00:00:00	1990	1991	11	48	48	48
575020	1990-11-16 00:00:00	1990	1991	11	49	49	49
575020	1990-11-17 00:00:00	1990	1991	11	49	49	49
575020	1990-11-18 00:00:00	1990	1991	11	40	40	40
575020	1990-11-19 00:00:00	1990	1991	11	38	38	38
575020	1990-11-20 00:00:00	1990	1991	11	31	31	31
575020	1990-11-21 00:00:00	1990	1991	11	32	32	32
575020	1990-11-22 00:00:00	1990	1991	11	38	38	38
575020	1990-11-23 00:00:00	1990	1991	11	39	39	39
575020	1990-11-24 00:00:00	1990	1991	11	36	36	36
575020	1990-11-25 00:00:00	1990	1991	11	42	42	42
575020	1990-11-26 00:00:00	1990	1991	11	49	49	49
575020	1990-11-27 00:00:00	1990	1991	11	49	49	49
575020	1990-11-28 00:00:00	1990	1991	11	56	56	56
575020	1990-11-29 00:00:00	1990	1991	11	50	50	50
575020	1990-11-30 00:00:00	1990	1991	11	57	57	57
575020	1990-12-01 00:00:00	1990	1991	12	50	50	50
575020	1990-12-02 00:00:00	1990	1991	12	46	46	46
575020	1990-12-03 00:00:00	1990	1991	12	45	45	45
575020	1990-12-04 00:00:00	1990	1991	12	47	47	47
575020	1990-12-05 00:00:00	1990	1991	12	51	51	51
575020	1990-12-06 00:00:00	1990	1991	12	54	54	54
575020	1990-12-07 00:00:00	1990	1991	12	62	62	62
575020	1990-12-08 00:00:00	1990	1991	12	60	60	60
575020	1990-12-09 00:00:00	1990	1991	12	59	59	59
575020	1990-12-10 00:00:00	1990	1991	12	58	58	58
575020	1990-12-11 00:00:00	1990	1991	12	60	60	60
575020	1990-12-12 00:00:00	1990	1991	12	58	58	58
575020	1990-12-13 00:00:00	1990	1991	12	58	58	58
575020	1990-12-14 00:00:00	1990	1991	12	57	57	57
575020	1990-12-15 00:00:00	1990	1991	12	55	55	55
575020	1990-12-16 00:00:00	1990	1991	12	50	50	50
575020	1990-12-17 00:00:00	1990	1991	12	48	48	48
575020	1990-12-18 00:00:00	1990	1991	12	48	48	48
575020	1990-12-19 00:00:00	1990	1991	12	48	48	48
